Game,Release_Year,Genre_Category,research_category,diversity_subcategory,uses_drse,num_drse,Quartz,Opal,Amethyst,Citrine,Jasper,Emerald,Aquamarine,Diamond,Ruby,Sapphire,Pearl,Topaz,Garnet,Sunstone,Jade,Obsidian,Unique_Minerals_Gems,num_standard_gems,unique_mineral_count,total_mineral_diversity,has_real_minerals,real_mineral_count,diversity_category,cluster,PC1,PC2
Risk of Rain,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Risk of Rain 2,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Rogue Legacy,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Rogue Legacy 2,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Romancing Saga 2: Revenge of the Seven,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
RuneScape,,mmo_mmorpg,D/R/S/E Cultural Default,,True,4,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,"Dragonstone, Hydrix, Onyx, Copper, Tin, Iron, Coal, Gold, Mithril, Adamantite, Runite",9,11,20,1,20,High,-1,,
Sacred 2,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Sins of a Solar Empire,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metal, Crystal",0,2,2,0,2,Low,-1,,
Sins of a Solar Empire 2,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metal, Crystal, Quatere",0,3,3,0,3,Low,-1,,
Sins of a Solar Empire: Rebellion,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Slay the Spire,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Spelunky,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Spelunky 2,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
StarCraft,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Vespene Gas, Khaydarin, Jorium, Terrazine, Solarite",0,6,6,0,6,Medium,-1,,
StarCraft II,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Vespene Gas, Khaydarin, Jorium, Terrazine, Solarite",0,6,6,0,6,Medium,-1,,
StarCraft: Brood War,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Vespene Gas",0,2,2,0,2,Low,-1,,
Starbound,,mining_survival,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Coal, Copper, Silver, Gold, Platinum, Solarium, Aegisalt, Ferozium, Violium",1,9,10,1,0,Medium,-1,,
Stardew Valley,2016.0,Farming Sim,D/R/S/E Cultural Default,,True,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"Prismatic Shard, Fire Quartz, Frozen Tear, Earth Crystal, Malachite",14,5,19,1,19,High,2,9.31622566624919,6.280171486256514
Stellaris,2016.0,Grand Strategy,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Volatile Motes, Exotic Gases, Rare Crystals, Living Metal, Zro, Dark Matter",0,8,8,0,8,Medium,0,-1.909485942518508,0.4511381248016777
Stellaris,2016.0,Grand Strategy,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals (abstract), rare crystals, volatile motes, exotic gases, living metal, zro, dark matter, nanites (mods add zeolite deposits)",0,8,8,0,8,Medium,0,-1.909485942518508,0.4511381248016777
Story of Seasons: Friends of Mineral Town,,farming_sims,D/R/S/E Cultural Default,,True,4,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,"Copper, Silver, Gold, Mystrile, Adamantite, Orichalcum, Mythic Stone",8,7,15,1,0,High,-1,,
Subnautica,2018.0,Survival,D/R/S/E Cultural Default,,True,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Lithium, gold, silver, copper, lead, uraninite, kyanite, nickel, magnetite, ion crystals, titanium, quartz",2,12,14,1,14,High,0,-0.2311365134236672,-0.133457526662958
Subnautica: Below Zero,,mining_survival,D/R/S/E Cultural Default,,True,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Titanium, Copper, Silver, Gold, Lithium, Magnetite, Kyanite",3,7,10,1,0,Medium,-1,,
Supreme Commander,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Supreme Commander: Forged Alliance,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
The Binding of Isaac,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
The Division,,borderlands_looter_shooters,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Electronics, Ceramics, Polycarbonate, Titanium (Crafting mats)",0,4,4,1,0,Low,-1,,
The Division 2,2019.0,Looter Shooter,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ceramic, electronics, polycarbonate, protective fabric, receiver components, steel, titanium",0,7,7,1,7,Medium,0,-1.8257653792510824,0.4972995713571869
The Eternal Die,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
The Legend of Zelda,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: A Link Between Worlds,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: A Link to the Past,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Breath of the Wild,,zelda,D/R/S/E Cultural Default,,True,3,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Amber, Luminous Stone, Flint, Rock Salt",5,4,9,1,0,Medium,-1,,
The Legend of Zelda: Echoes of Wisdom,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Four Swords,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Four Swords Adventures,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Link's Awakening,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Majora's Mask,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Ocarina of Time,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Oracle of Ages,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Oracle of Seasons,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Phantom Hourglass,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Skyward Sword,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amber Relic, Eldin Ore, Dusk Relic, Goddess Plume",0,4,4,1,0,Low,-1,,
The Legend of Zelda: Spirit Tracks,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Tears of the Kingdom,,zelda,D/R/S/E Cultural Default,,True,3,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Amber, Luminous Stone, Flint, Rock Salt",5,4,9,1,0,Medium,-1,,
The Legend of Zelda: The Minish Cap,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: The Wind Waker,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Tri Force Heroes,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Legend of Zelda: Twilight Princess,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
The Slormancer,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Tiny Tina's Wonderlands,,borderlands_looter_shooters,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moonstone, Eridium, Quartz (as currency)",0,3,3,1,0,Low,-1,,
Titan Quest,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Torchlight,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Torchlight II,2012.0,Action RPG,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ember, socketable gems",0,2,2,0,2,Low,0,-1.936827982463974,0.2444850073469291
Torchlight III,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Total Annihilation,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Total War: Warhammer,,strategy_4x_rts,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Gold, Iron, Marble, Salt, Warpstone",2,5,7,1,7,Medium,-1,,
Total War: Warhammer II,,strategy_4x_rts,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Gold, Iron, Marble, Salt, Warpstone, Oathgold",2,6,8,1,8,Medium,-1,,
Total War: Warhammer III,,strategy_4x_rts,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Gold, Iron, Marble, Salt, Warpstone, Canopic Jars (Proxy)",2,6,8,1,8,Medium,-1,,
Uncharted Waters Online,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Valheim,2021.0,Survival,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Amber, Amber Pearl, Ruby, Silver, Crystal, Obsidian, Bloodstone, Iolite, Jade",3,9,12,1,12,High,0,-1.7741276182663854,0.4744792278902733
Vampire Survivors,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Victor Vran,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Villages and Heroes,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Silver, Gold, Tin",0,5,5,1,0,Medium,-1,,
Vivid World,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Wall World,,mining_survival,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Copper, Iron, Uranium, Emerald (proxy), Diamond (proxy)",0,5,5,1,0,Medium,-1,,
Warcraft III,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gold,0,1,1,1,1,Low,-1,,
Warframe,2013.0,Looter Shooter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adramalium, Bapholite, Namalon, Thaumica, Azurite, Crimzian, Devar, Nyth, Sentirum, Veridos, Amarast, Goblite, Noctrul, Phasmin, Thyst, Zodian",0,16,16,0,16,High,0,-1.9185999558336635,0.3822537523167615
Warhammer: Chaosbane,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
World of Warcraft,2004.0,MMORPG,D/R/S/E Cultural Default,,True,4,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"Malachite, Tigerseye, Shadowgem, Moonstone, Moss Agate, Jade, Citrine, Aquamarine, Ruby, Opal, Sapphire, Emerald, Diamond, Garnet, Topaz",13,15,28,1,28,High,1,4.398765796462819,-0.1779702218350501
Wurm Online,,mmo_mmorpg,D/R/S/E Cultural Default,,True,4,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,"Iron, Copper, Lead, Zinc, Tin, Silver, Gold, Glimmersteel, Adamantine",5,9,14,1,0,High,-1,,
Zelda II: The Adventure of Link,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
